Price,Date,Link,Text
1650,11. nov,https://www.dba.dk/acer-aspire-gx-781-i5-cpu/id-1096162834/ ,Acer  Aspire GX781  I5 CPU – 7400 @ 3 0 Ghz  8 GB ram  1500 GB harddisk  Perfekt  Acer Aspire GX781  Intel Core I5 CPU – 7400 @ 3 0 GHz  DDR4 Ram 8 Gb  Harddisk 1500 Gb  Kort læser Nvidia GTX 750 Ti grafikkort  samlet tilgængelige hukommelse 6122 Mb  (1920x1080)  HDMI udgang  Office pakker  Win (64 Bit)  Original version med digital licens  Kører meget fint.
1800,30. okt,https://www.dba.dk/strix-gtx-1080-ti-nvidia-11/id-1095799618/ ,Strix GTX 1080 TI Nvidia  11 GB RAM  Rimelig  Dette grafikkort er blevet købt brugt  tidligere ejer har haft brugt det i 1 år. Har ikke endt med selv at bruge det da jeg fik opgraderet så nu sælger jeg det. Der er ikke original emballage med og prisen er til at forhandle :)
2000,15. mar,https://www.dba.dk/selvbyg-intel-i5-6600k-asus/id-1088819726/ ,Selvbyg  Intel i56600K  Asus Z170 Pro Gaming  3.9 Ghz  16 GB ram  SSD 500  GB harddisk  Nyombygget PC  med hardware af høj kvalitet. Bygget af ITuddannet entusiast. PC'en har stadig stort gaming potential  hvis man selv anskaffer et dedikeret grafikkort. Et GTX 1080 ti eller RTX 2060 kort vil passe godt f.eks. Indtil da er det blot en lynhurtig internet og kontor maskine.Består af kabinet og strømforsyning fra 2011  LGA 1151 platform købt 2016 (Bundkort og CPU)  nogle dele der...
2599,28. okt,https://www.dba.dk/acer-predator-ph317-51/id-1095736955/ ,Acer Predator PH31751  i77700HQ 2.83.8 GHz  8 GB ram  256 GB harddisk  God  Købt d. 24.11.2017Specs:17 3 Full HD IPS (1920x1080)Intel® Core™ i77700HQ 2.8 GHz med Turbo Boost til 3.8 GHzGeForce GTX 1050 Ti 4 GB8 GB RAM (1 x 8 GB)Intel 600p Series 256GBWestern Digital Blue WD10SPZX 1TBDer er en enkelt skramme (se vedhæftet billede)  fra ikke ryger hjem og batteri er stædig i god stand (se vedhæftet billede).Der er inkluderet original indpakning  lader  brugsanvisninger...
3000,25. okt,https://www.dba.dk/gtx-1080-ti-nvidia-11-gb/id-1095632850/ ,GTX 1080 ti NVIDIA   11 GB RAM  Perfekt
3500,27. okt,https://www.dba.dk/gtx-1080ti-evga-11-gb-ram/id-1095686337/ ,Gtx 1080ti Evga  11 GB RAM  Perfekt  Evga gtx 1080 ti med eftermonteret vandkøling/blok  luftkøleren er stadig i æsken. Har aldrig været overclocket  altid kørt upåklageligt.
4200,1. okt,https://www.dba.dk/geforce-gtx-1080-ti-ftw3-evga/id-1094825415/ ,GeForce GTX 1080 Ti FTW3 Evga  11 GB RAM  Perfekt
4500,2. nov,https://www.dba.dk/geforce-rtx-2080-ti-inno3d/id-1095876718/ ,Geforce RTX 2080 Ti Inno3d iChill Black  11 GB RAM  Perfekt  Sjælden model.Originalt fabriks vandkølet (ikke DIY).BEDSTE RTX 2080 Ti model på markedet (høj fabriks clock)  og mest støjsvage under fuld load.Trækker ALT !Perfekt stand og virker som det skal.Ikke været overclocket.PCB er Nvidia FE (bedste VRMkvalitet og design).https://youtu.be/zsWoef9MqQHer får du temperatur fordelen som entusiaster der selv modificerer PCen med Custom Waterloop med eftermonteret waterblock...
5000,9. nov,https://www.dba.dk/selvbyg-32-gb-ram-1000-gb/id-1096103519/ ,Selvbyg  32 GB ram  1000 GB harddisk  God  CPU: intel i78700KCPU køler: Kraken x62Motherboard: ASRock z370 taichiGPU Inno3D gtx 1080 tiRam G.Skill TridentZ RGB DDR43200 C16 32GBPSU: EVGA SuperNOVA 850 G2  850WSSD: Samsung 860 EVo m2 1TBSSD2: Samsung 850 EVo 250gbKabinet: COSMOS C700p  Fulltower kabinet. Meget stort og tungt.Skal afhentes. Sendes ikke.
5500,7. nov,https://www.dba.dk/selvbyg-gaming-pc-i5-8600k/id-1096050826/ ,Selvbyg  Gaming pc  I58600k Ghz  32gb GB ram  1tb ssd  4tb hdd GB harddisk  God  I58600kGtx 1080 ti32gb ram1tb ssd4tb hdd600w psuMed wifi netværks kortBilleder kommer op senere eller sendes privat efter henvendelsePrisen kan justeresDen kører 100120 average fps i modern warfare 2 (2022) Rainbow six siege 180+fosValorant 200+fpsCS GO 200+ fpsRocket league 200+fpsAssassins creed valhalla 7090 fps
